Geno,Block,Loc,Year,Height
BESC-160,Replacement,CA,2011,303
BESC-161,2,CA,2011,207
BESC-161,Replacement,CA,2011,NA
BESC-162,Replacement,CA,2011,452
BESC-163,2,CA,2011,500
BESC-164,1,CA,2011,NA
BESC-165,1,CA,2011,318
BESC-165,2,CA,2011,377
BESC-165,Replacement,CA,2011,331
BESC-166,1,CA,2011,434
BESC-166,3,CA,2011,275
BESC-167,1,CA,2011,226
BESC-167,2,CA,2011,226
BESC-167,3,CA,2011,427
BESC-167,Replacement,CA,2011,326
BESC-168,1,CA,2011,NA
BESC-168,2,CA,2011,398
BESC-168,Replacement,CA,2011,408
BESC-169,1,CA,2011,286
BESC-169,2,CA,2011,458
BESC-169,Replacement,CA,2011,398
BESC-17,1,CA,2011,222
BESC-17,2,CA,2011,214
BESC-17,Replacement,CA,2011,415
BESC-170,1,CA,2011,336
BESC-170,2,CA,2011,402
BESC-170,3,CA,2011,293
BESC-171,3,CA,2011,290
BESC-171,Replacement,CA,2011,257
BESC-172,2,CA,2011,170
BESC-173,1,CA,2011,326
BESC-173,Replacement,CA,2011,262
BESC-174,1,CA,2011,512
BESC-174,2,CA,2011,484
BESC-174,3,CA,2011,517
BESC-174,Replacement,CA,2011,NA
BESC-175,1,CA,2011,316
BESC-175,Replacement,CA,2011,242
BESC-176,1,CA,2011,NA
BESC-176,2,CA,2011,330
BESC-176,3,CA,2011,316
BESC-176,Replacement,CA,2011,NA
BESC-177,1,CA,2011,484
BESC-177,2,CA,2011,317
BESC-177,3,CA,2011,425
BESC-177,Replacement,CA,2011,450
BESC-178,1,CA,2011,218
BESC-178,Replacement,CA,2011,NA
BESC-179,1,CA,2011,420
BESC-179,Replacement,CA,2011,305
BESC-18,1,CA,2011,320
BESC-18,2,CA,2011,NA
BESC-18,3,CA,2011,NA
BESC-18,Replacement,CA,2011,248
BESC-180,1,CA,2011,520
BESC-180,2,CA,2011,473
BESC-180,3,CA,2011,204
BESC-180,Replacement,CA,2011,433
BESC-181,1,CA,2011,280
BESC-181,Replacement,CA,2011,404
BESC-183,2,CA,2011,331
BESC-183,3,CA,2011,NA
BESC-184,1,CA,2011,134
BESC-184,2,CA,2011,200
BESC-184,Replacement,CA,2011,427
BESC-185,1,CA,2011,624
